#️⃣ <code>:hash:</code>
0️⃣ <code>:zero:</code>
4️⃣ <code>:four:</code>
5️⃣ <code>:five:</code>
6️⃣ <code>:six:</code>
7️⃣ <code>:seven:</code>
8️⃣ <code>:eight:</code>
9️⃣ <code>:nine:</code>
©️ <code>:copyright:</code>
®️ <code>:registered:</code>
™️ <code>:tm:</code>
ℹ️ <code>:information_source:</code>
↩️ <code>:leftwards_arrow_with_hook:</code>
↪️ <code>:arrow_right_hook:</code>
⌚ <code>:watch:</code>
⌛ <code>:hourglass:</code>
⏩ <code>:fast_forward:</code>
⏪ <code>:rewind:</code>
⏫ <code>:arrow_double_up:</code>
⏬ <code>:arrow_double_down:</code>
⏰ <code>:alarm_clock:</code>
⏳ <code>:hourglass_flowing_sand:</code>
☎️ <code>:phone:</code>
☎️ <code>:telephone:</code>
☑️ <code>:ballot_box_with_check:</code>
☕ <code>:coffee:</code>
☝️ <code>:point_up:</code>
♈ <code>:aries:</code>
♉ <code>:taurus:</code>
♊ <code>:gemini:</code>
♋ <code>:cancer:</code>
♌ <code>:leo:</code>
♍ <code>:virgo:</code>
♎ <code>:libra:</code>
♏ <code>:scorpius:</code>
♐ <code>:sagittarius:</code>
♑ <code>:capricorn:</code>
♒ <code>:aquarius:</code>
♓ <code>:pisces:</code>
♨️ <code>:hotsprings:</code>
♻️ <code>:recycle:</code>
♿ <code>:wheelchair:</code>
⚓ <code>:anchor:</code>
⚡ <code>:zap:</code>
⚪ <code>:white_circle:</code>
⚫ <code>:black_circle:</code>
⚽ <code>:soccer:</code>
⚾ <code>:baseball:</code>
⛄ <code>:snowman:</code>
⛅ <code>:partly_sunny:</code>
⛎ <code>:ophiuchus:</code>
⛔ <code>:no_entry:</code>
⛪ <code>:church:</code>
⛲ <code>:fountain:</code>
⛳ <code>:golf:</code>
⛵ <code>:boat:</code>
⛵ <code>:sailboat:</code>
⛺ <code>:tent:</code>
⛽ <code>:fuelpump:</code>
✂️ <code>:scissors:</code>
✅ <code>:white_check_mark:</code>
✉️ <code>:envelope:</code>
✊ <code>:fist:</code>
✋ <code>:hand:</code>
✋ <code>:raised_hand:</code>
✌️ <code>:v:</code>
✏️ <code>:pencil2:</code>
✒️ <code>:black_nib:</code>
✔️ <code>:heavy_check_mark:</code>
✖️ <code>:heavy_multiplication_x:</code>
✨ <code>:sparkles:</code>
✳️ <code>:eight_spoked_asterisk:</code>
✴️ <code>:eight_pointed_black_star:</code>
❄️ <code>:snowflake:</code>
❌ <code>:x:</code>
❎ <code>:negative_squared_cross_mark:</code>
❓ <code>:question:</code>
❔ <code>:grey_question:</code>
❕ <code>:grey_exclamation:</code>
❗ <code>:exclamation:</code>
❗ <code>:heavy_exclamation_mark:</code>
❤️ <code>:heart:</code>
➕ <code>:heavy_plus_sign:</code>
➖ <code>:heavy_minus_sign:</code>
➗ <code>:heavy_division_sign:</code>
➡️ <code>:arrow_right:</code>
➰ <code>:curly_loop:</code>
➿ <code>:loop:</code>
⬅️ <code>:arrow_left:</code>
⬆️ <code>:arrow_up:</code>
⬇️ <code>:arrow_down:</code>
⭐ <code>:star:</code>
⭕ <code>:o:</code>
〰️ <code>:wavy_dash:</code>
〽️ <code>:part_alternation_mark:</code>
㊗️ <code>:congratulations:</code>
㊙️ <code>:secret:</code>
🀄 <code>:mahjong:</code>
🃏 <code>:black_joker:</code>
🆎 <code>:ab:</code>
🆑 <code>:cl:</code>
🆒 <code>:cool:</code>
🆓 <code>:free:</code>
🆔 <code>:id:</code>
🆕 <code>:new:</code>
🆖 <code>:ng:</code>
🆗 <code>:ok:</code>
🆘 <code>:sos:</code>
🆙 <code>:up:</code>
🆚 <code>:vs:</code>
🈁 <code>:koko:</code>
🈂️ <code>:sa:</code>
🈚 <code>:u7121:</code>
🈯 <code>:u6307:</code>
🈲 <code>:u7981:</code>
🈳 <code>:u7a7a:</code>
🈴 <code>:u5408:</code>
🈵 <code>:u6e80:</code>
🈶 <code>:u6709:</code>
🈷️ <code>:u6708:</code>
🈸 <code>:u7533:</code>
🈹 <code>:u5272:</code>
